 time            v(conn_pin)     v(mcu_pin)      v_am_rs#branch 
 1.39480000e-06  4.75840227e+00  4.75557947e+00  2.82280313e-06 
 1.39980000e-06  4.76112515e+00  4.75833347e+00  2.79168317e-06 
 1.40480000e-06  4.76381741e+00  4.76105650e+00  2.76091002e-06 
 1.40980000e-06  4.76647937e+00  4.76374889e+00  2.73047988e-06 
 1.41480000e-06  4.76911139e+00  4.76641100e+00  2.70038900e-06 
 1.41980000e-06  4.77171378e+00  4.76904315e+00  2.67063368e-06 
 1.42480000e-06  4.77428689e+00  4.77164568e+00  2.64121025e-06 
 1.42980000e-06  4.77683104e+00  4.77421892e+00  2.61211506e-06 
 1.43480000e-06  4.77934655e+00  4.77676320e+00  2.58334453e-06 
 1.43980000e-06  4.78183374e+00  4.77927885e+00  2.55489509e-06 
 1.44480000e-06  4.78429293e+00  4.78176617e+00  2.52676323e-06 
 1.44980000e-06  4.78672443e+00  4.78422549e+00  2.49894547e-06 
 1.45480000e-06  4.78912856e+00  4.78665712e+00  2.47143836e-06 
 1.45980000e-06  4.79150561e+00  4.78906137e+00  2.44423848e-06 
 1.46480000e-06  4.79385589e+00  4.79143854e+00  2.41734247e-06 
 1.46980000e-06  4.79617969e+00  4.79378894e+00  2.39074699e-06 
 1.47480000e-06  4.79847732e+00  4.79611287e+00  2.36444873e-06 
 1.47980000e-06  4.80074907e+00  4.79841062e+00  2.33844443e-06 
 1.48480000e-06  4.80299522e+00  4.80068249e+00  2.31273085e-06 
 1.48980000e-06  4.80521606e+00  4.80292876e+00  2.28730480e-06 
 1.49480000e-06  4.80741188e+00  4.80514972e+00  2.26216311e-06 
 1.49980000e-06  4.80958296e+00  4.80734566e+00  2.23730264e-06 
 1.50480000e-06  4.81172956e+00  4.80951684e+00  2.21272031e-06 
 1.50980000e-06  4.81385198e+00  4.81166356e+00  2.18841304e-06 
 1.51480000e-06  4.81595047e+00  4.81378609e+00  2.16437781e-06 
 1.51980000e-06  4.81802530e+00  4.81588469e+00  2.14061161e-06 
 1.52480000e-06  4.82007674e+00  4.81795963e+00  2.11711148e-06 
 1.52980000e-06  4.82210505e+00  4.82001118e+00  2.09387447e-06 
 1.53480000e-06  4.82411050e+00  4.82203960e+00  2.07089769e-06 
 1.53980000e-06  4.82609333e+00  4.82404515e+00  2.04817827e-06 
 1.54480000e-06  4.82805380e+00  4.82602808e+00  2.02571335e-06 
 1.54980000e-06  4.82999216e+00  4.82798866e+00  2.00350013e-06 
 1.55480000e-06  4.83190865e+00  4.82992712e+00  1.98153582e-06 
 1.55980000e-06  4.83380354e+00  4.83184372e+00  1.95981768e-06 
 1.56480000e-06  4.83567704e+00  4.83373870e+00  1.93834297e-06 
 1.56980000e-06  4.83752941e+00  4.83561230e+00  1.91710901e-06 
 1.57480000e-06  4.83936089e+00  4.83746477e+00  1.89611313e-06 
 1.57980000e-06  4.84117170e+00  4.83929634e+00  1.87535270e-06 
 1.58480000e-06  4.84296207e+00  4.84110725e+00  1.85482510e-06 
 1.58980000e-06  4.84473225e+00  4.84289772e+00  1.83452776e-06 
 1.59480000e-06  4.84648245e+00  4.84466799e+00  1.81445813e-06 
 1.59980000e-06  4.84821289e+00  4.84641828e+00  1.79461368e-06 
 1.60480000e-06  4.84992381e+00  4.84814882e+00  1.77499191e-06 
 1.60980000e-06  4.85161542e+00  4.84985983e+00  1.75559037e-06 
 1.61480000e-06  4.85328793e+00  4.85155152e+00  1.73640659e-06 
 1.61980000e-06  4.85494156e+00  4.85322412e+00  1.71743817e-06 
 1.62480000e-06  4.85657652e+00  4.85487784e+00  1.69868272e-06 
 1.62980000e-06  4.85819303e+00  4.85651289e+00  1.68013787e-06 
 1.63480000e-06  4.85979129e+00  4.85812948e+00  1.66180128e-06 
 1.63980000e-06  4.86137149e+00  4.85972782e+00  1.64367065e-06 
 1.64480000e-06  4.86293386e+00  4.86130812e+00  1.62574367e-06 
 1.64980000e-06  4.86447858e+00  4.86287056e+00  1.60801809e-06 
 1.65480000e-06  4.86600586e+00  4.86441537e+00  1.59049166e-06 
 1.65980000e-06  4.86751589e+00  4.86594273e+00  1.57316218e-06 
 1.66480000e-06  4.86900887e+00  4.86745284e+00  1.55602746e-06 
 1.66980000e-06  4.87048498e+00  4.86894589e+00  1.53908531e-06 
 1.67480000e-06  4.87194442e+00  4.87042208e+00  1.52233362e-06 
 1.67980000e-06  4.87338737e+00  4.87188160e+00  1.50577024e-06 
 1.68480000e-06  4.87481402e+00  4.87332463e+00  1.48939309e-06 
 1.68980000e-06  4.87622456e+00  4.87475136e+00  1.47320010e-06 
 1.69480000e-06  4.87761916e+00  4.87616197e+00  1.45718920e-06 
 1.69980000e-06  4.87899800e+00  4.87755664e+00  1.44135838e-06 
 1.70480000e-06  4.88036127e+00  4.87893556e+00  1.42570563e-06 
 1.70980000e-06  4.88170913e+00  4.88029890e+00  1.41022895e-06 
 1.71480000e-06  4.88304175e+00  4.88164683e+00  1.39492640e-06 
 1.71980000e-06  4.88435932e+00  4.88297953e+00  1.37979602e-06 
 1.72480000e-06  4.88566200e+00  4.88429716e+00  1.36483590e-06 
 1.72980000e-06  4.88694996e+00  4.88559991e+00  1.35004413e-06 
 1.73480000e-06  4.88822336e+00  4.88688794e+00  1.33541885e-06 
 1.73980000e-06  4.88948236e+00  4.88816140e+00  1.32095818e-06 
 1.74480000e-06  4.89072714e+00  4.88942048e+00  1.30666030e-06 
 1.74980000e-06  4.89195784e+00  4.89066532e+00  1.29252339e-06 
 1.75480000e-06  4.89317464e+00  4.89189609e+00  1.27854564e-06 
 1.75980000e-06  4.89437767e+00  4.89311295e+00  1.26472529e-06 
 1.76480000e-06  4.89556711e+00  4.89431605e+00  1.25106056e-06 
