 frequency       z_mag          
 2.06538016e+04  1.20120000e+02 
 2.08929613e+04  1.20120000e+02 
 2.11348904e+04  1.20120000e+02 
 2.13796209e+04  1.20120000e+02 
 2.16271852e+04  1.20120000e+02 
 2.18776162e+04  1.20120000e+02 
 2.21309471e+04  1.20120000e+02 
 2.23872114e+04  1.20120000e+02 
 2.26464431e+04  1.20120000e+02 
 2.29086765e+04  1.20120000e+02 
 2.31739465e+04  1.20120000e+02 
 2.34422882e+04  1.20120000e+02 
 2.37137371e+04  1.20120000e+02 
 2.39883292e+04  1.20120000e+02 
 2.42661010e+04  1.20120000e+02 
 2.45470892e+04  1.20120000e+02 
 2.48313311e+04  1.20120000e+02 
 2.51188643e+04  1.20120000e+02 
 2.54097271e+04  1.20120000e+02 
 2.57039578e+04  1.20120000e+02 
 2.60015956e+04  1.20120000e+02 
 2.63026799e+04  1.20120000e+02 
 2.66072506e+04  1.20120000e+02 
 2.69153480e+04  1.20120000e+02 
 2.72270131e+04  1.20120000e+02 
 2.75422870e+04  1.20120000e+02 
 2.78612117e+04  1.20120000e+02 
 2.81838293e+04  1.20120000e+02 
 2.85101827e+04  1.20120000e+02 
 2.88403150e+04  1.20120000e+02 
 2.91742701e+04  1.20120000e+02 
 2.95120923e+04  1.20120000e+02 
 2.98538262e+04  1.20120000e+02 
 3.01995172e+04  1.20120000e+02 
 3.05492111e+04  1.20120000e+02 
 3.09029543e+04  1.20120000e+02 
 3.12607937e+04  1.20120000e+02 
 3.16227766e+04  1.20120000e+02 
 3.19889511e+04  1.20120000e+02 
 3.23593657e+04  1.20120000e+02 
 3.27340695e+04  1.20120000e+02 
 3.31131121e+04  1.20120000e+02 
 3.34965439e+04  1.20120000e+02 
 3.38844156e+04  1.20120000e+02 
 3.42767787e+04  1.20120000e+02 
 3.46736850e+04  1.20120000e+02 
 3.50751874e+04  1.20120000e+02 
 3.54813389e+04  1.20120000e+02 
 3.58921935e+04  1.20120000e+02 
 3.63078055e+04  1.20120000e+02 
 3.67282300e+04  1.20120000e+02 
 3.71535229e+04  1.20120000e+02 
 3.75837404e+04  1.20120000e+02 
 3.80189396e+04  1.20120000e+02 
 3.84591782e+04  1.20120000e+02 
 3.89045145e+04  1.20120000e+02 
 3.93550075e+04  1.20120000e+02 
 3.98107171e+04  1.20120000e+02 
 4.02717034e+04  1.20120000e+02 
 4.07380278e+04  1.20120000e+02 
 4.12097519e+04  1.20120000e+02 
 4.16869383e+04  1.20120000e+02 
 4.21696503e+04  1.20120000e+02 
 4.26579519e+04  1.20120000e+02 
 4.31519077e+04  1.20120000e+02 
 4.36515832e+04  1.20120000e+02 
 4.41570447e+04  1.20120000e+02 
 4.46683592e+04  1.20120000e+02 
 4.51855944e+04  1.20120000e+02 
 4.57088190e+04  1.20120000e+02 
 4.62381021e+04  1.20120000e+02 
 4.67735141e+04  1.20120000e+02 
 4.73151259e+04  1.20120000e+02 
 4.78630092e+04  1.20120000e+02 
 4.84172368e+04  1.20120000e+02 
 4.89778819e+04  1.20120000e+02 
 4.95450191e+04  1.20120000e+02 
 5.01187234e+04  1.20120000e+02 
 5.06990708e+04  1.20120000e+02 
 5.12861384e+04  1.20120000e+02 
 5.18800039e+04  1.20120000e+02 
 5.24807460e+04  1.20120000e+02 
