 time            v(conn_pin)     v(gate)         v(gate_drive)  
 1.48907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.49407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.49907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.50407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.50907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.51407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.51907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.52407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.52907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.53407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.53907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.54407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.54907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.55407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.55907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.56407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.56907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.57407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.57907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.58407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.58907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.59407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.59907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.60407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.60907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.61407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.61907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.62407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.62907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.63407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.63907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.64407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.64907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.65407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.65907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.66407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.66907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.67407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.67907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.68407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.68907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.69407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.69907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.70407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.70907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.71407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.71907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
